405,ఏ తరహా కుటుంబము
409,ఇంటి యజమాని యొక్క అత్యధిక విద్యార్హత
410,కులము
411,ఇంటి నివాస స్థలము ఉన్నదా?
412,ఇంటి తరహా
413,మతము
414,రేషన్ కార్డు రకము
415,"ఇతరములు, వివరించండి"
416,ప్రభుత్వ వౌకధరలు దుకాణము నుండి సరుకుల అందుతున్నాయ్
417,ఉవాడి హామి జాబ్ కార్డు
418,గత సంవత్సరము ఎన్ని రోజుల వని దినములు దొరికినవి
419,గత సంవత్సరము ఎంత్ వేతనము/కూలీ వచ్చినది
420,కూలీ/వేతనము వచ్చినదా? (పీ+వీ+జు+ఖా)
421,మొత్తము కుటుంబ సభ్యులు
422,17 సంవత్సరములు లేదా అంతకంట్ తక్కువ వయసున్న మొత్తము కుటుంబ సభ్యులు
423,కుటుంబము యొక్క ముఖ్య వృత్తి
424,"ఇతరములు, వివరించండి"
425,ఒక వేళ భూమి లేకుంటే
426,వంటచేయుటకు ఉవయాగించు ముఖ్య ఇంధనము
427,క్యాసరాల్/ధెర్మొ/ధర్మొవేర్ ఉన్నదా
428,టీవి. మరియు/విసిఆర్/విసిడి/డివిడి ఉన్నవా
429,చరవాణి (మొబైల్) మరియు టెలిఫోన్ ఉన్నదా?
430,కుట్టు మిషను ఉన్నదా
431,ఇంటిలో అల్మారా (బీరువా)/డ్రెస్సింగ్ టేబులు ఉన్నాయా?
432,సైకీలు/మోటరు సైకీలు/స్కూటరు/కారు/జీపు ఉన్నాయా?
433,కుటుంబ యజమాని ఒంటరి వారా?
434,అవ్వ తాతలు ఇంటి పెద్దలా? (అమ్మమ్మ/తాతయ్య-నాన్నమ్మ-తాతయ్య)
435,యువకుడు/యువతి ఇంటి ప్దెగా వ్య్వహరించు చున్నారు (18  ఏళ్లు నిండని వ్యక్తులు)
436,ఇంటి సంపాదనకొరకు తల్లి తండ్రి ఇరువురూ వనిచేయు చున్నారా?
437,ఇంటికి ముఖ్య సంపాదన వరుడు తీవ్ర అనారోగ్యంతో ఉన్నారా?
438,నివాస పరిస్థితి
439,ఏ నెలలొ వలస వెళ్ళడం గాని లేక వలస రావడం గాని జరుగుచుమ్మది?
440,కుటుంబము ప్రతి సంవత్సరము చలస వెళ్తుందా?
441,ఎంతకాలము చలన వేళతారు?
442,కుటుంబములోని ఎవరైనా వ్యక్తి శాశ్వతముగా చలస వెళ్ళినారా?
443,త్రాగు నీరు ఎక్కడి నుండి తెస్తున్నారు? (త్రాగునీటి మూలము)
444,"ఇతరములు, వివరించండి"
445,మరుగు దొడ్డి
446,"ఇతరములు, వివరించండి"
447,కుటుంబమునకు సంబంధించి ఎవరైనా వసివారు (ఆడ లేక మగ) తప్పిపోయినాడా
448,తప్పిపోయ ఉంటే ఎంత మంది బాలురు
449,తప్పిపోయ ఉంటే ఎంత మంది బాలికలు
