44,பள்ளியின் பெயர் 
45,பள்ளியின் அடையாள எண் 
46,பள்ளியின் குறைந்த வகுப்பு 
47,பள்ளியில் இருக்கும் அதிகபட்ச வகுப்பு 
48,பள்ளியின் வகை 
49,பள்ளியின் தன்மை 
50,மொத்த அறைகளின் எண்ணிக்கை 
51,மொத்த வகுப்பறைகளின் எண்ணிக்கை 
52,பயிற்று மொழி
53,பாடம் நடத்தப்படும் மொழி அந்த பகுதியில் வழக்கத்திலுள்ள மொழியோடு ஒத்துப்போகிறதா?
54,தாழ்த்தப்பட்ட வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை 
55,தாழ்த்தப்பட்ட வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை 
56,பழங்குடி வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை 
57,பழங்குடி  வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை 
58,பிற பிற்படுத்தப்பட்ட வகுப்பை சார்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை 
59,பிற பிற்படுத்தப்பட்ட வகுப்பை சார்ந்த பெண் குழந்தைகளின் எண்ணிக்கை 
60,பிற ஆண் குழந்தைகளின் எண்ணிக்கை 
61,பிற பெண் குழந்தைகளின் எண்ணிக்கை 
62,இந்து ஆண் குழந்தைகளின் எண்ணிக்கை 
63,இந்து பெண் குழந்தைகளின் எண்ணிக்கை 
64,முஸ்லிம் ஆண் குழந்தைகளின் எண்ணிக்கை 
65,முஸ்லிம் பெண் குழந்தைகளின் எண்ணிக்கை 
66,கிறிஸ்தவ ஆண் குழந்தைகளின் எண்ணிக்கை 
67,கிறிஸ்தவ பெண் குழந்தைகளின் எண்ணிக்கை 
68,சீக்கிய ஆண் குழந்தைகளின் எண்ணிக்கை 
69,சீக்கிய பெண் குழந்தைகளின் எண்ணிக்கை 
70, புத்த மதத்தை சேர்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை 
71, புத்த மதத்தை சேர்ந்த பெண் குழந்தைகளின் எண்ணிக்கை 
72, ஜைன (சமண மதம்)மதத்தை  சேர்ந்த ஆண் குழந்தைகளின் எண்ணிக்கை 
73, ஜைன (சமண மதம்) மதத்தை  சேர்ந்த பெண் குழந்தைகளின் எண்ணிக்கை 
74,மொத்த ஆண் குழந்தைகளின் எண்ணிக்கை 
75,மொத்த பெண் குழந்தைகளின் எண்ணிக்கை 
76,மொத்த குழந்தைகள்
77,மாற்றுதிறனாளி  ஆண் குழந்தைகளின் எண்ணிக்கை 
78,மாற்றுதிறனாளி  பெண் குழந்தைகளின் எண்ணிக்கை 
79,நிரந்தர ஆசிரியர்களின் எண்ணிக்கை  
80,ஒப்பந்த ஆசிரியர்களின் எண்ணிக்கை  
81,மொத்த ஆசிரியர்கள் 
82,மொத்த ஆண் ஆசிரியர்கள் 
83,மொத்த பெண் ஆசிரியர்கள் 
84,கணித ஆசிரியர்கள் 
85,அறிவியல் ஆசிரியர்கள் 
86,மொழி ஆசிரியர்கள் 
87,SST ஆசிரியர்கள் 
88,குறைந்தபட்சம் ஒரு பெண் ஆசிரியர் 
92,மதிய உணவு யாரால் சமைக்கபடுகிறது 
93,மதிய உணவு சமையல்காரர் இருக்கிறாரா 
94,மதிய உணவு சமையல் உதவியாளர் இருக்கிறாரா 
95,சுத்தம் செய்வதற்கென்று தனி பணியாளர் இருக்கிறாரா 
96,பள்ளி கட்டிடம் இருக்கிறதா 
97,குழந்தைகளுக்கு கழிவறை இருக்கிறதா 
98,பெண் குழந்தைகளுக்கு தனி கழிவறை இருக்கிறதா 
99,கழிவறையில் தண்ணீர் வசதி இருக்கிறதா 
100,சுற்றுசுவர் இருக்கிறதா 
102,நூலகம் இருக்கிறதா 
103,விளையாட்டு மைதானம் இருக்கிறதா 
104,தனி சமையல் அறை இருக்கிறதா 
105,மாற்றுதிறனாளி குழந்தைகளும் பயன்படுத்தும் வகையில் இருக்கிறதா 
106,குடிநீர் வசதி இருக்கிறதா 
107,மின்சார வசதி இருக்கிறதா 
109,அறிவியல் ஆய்வகம் இருக்கிறதா 
110,பள்ளி மேலாண்மை குழு இருக்கிறதா 
112,ஒரு  வருடத்தில் நடத்தப்பட்ட கூட்டங்களின் எண்ணிக்கை 
